,Nome,Acurácia,Precisão,Recall,F1-score,Matriz de Confusão
50,KNN,0.9513423407615371,0.9656071247556296,0.9360238638357606,0.9505853841082025,"[[27545   950]
 [ 1823 26672]]"
51,GaussianNB,0.5067906650289524,0.5059779418579505,0.5747675030707141,0.53818349106204,"[[12504 15991]
 [12117 16378]]"
52,Perceptron,0.7894367432882962,0.8042796532005165,0.7650464993858571,0.7841726618705036,"[[23190  5305]
 [ 6695 21800]]"
53,LinearSVC,0.8080014037550447,0.8303534460044416,0.7741709071766977,0.8012785587156297,"[[23988  4507]
 [ 6435 22060]]"
54,SGD,0.8191788032988243,0.8554678339717032,0.7681347604842955,0.8094524879347645,"[[24797  3698]
 [ 6607 21888]]"
55,Dtree,0.8547288998069836,0.8599202392821536,0.8475171082646078,0.8536736244896517,"[[24561  3934]
 [ 4345 24150]]"
56,RForest,0.9434988594490261,0.9532981814268805,0.932689945604492,0.9428814701812893,"[[27193  1302]
 [ 1918 26577]]"
57,ADA,0.6963326899456045,0.7191772771792361,0.6442182839094578,0.6796371714179933,"[[21327  7168]
 [10138 18357]]"
58,GBC,0.8117915423758554,0.8416195639635483,0.7681347604842955,0.8031998825731167,"[[24376  4119]
 [ 6607 21888]]"
59,ETC,0.9652395157045096,0.9736672859797056,0.95634321810844,0.9649275003098278,"[[27758   737]
 [ 1244 27251]]"
60,logreg,0.9345499210387788,0.9859121767452812,0.8816985436041411,0.9308977731668457,"[[28136   359]
 [ 3371 25124]]"
61,SVC,0.9871030005264081,0.9979908151549942,0.9761712581154589,0.9869604555857151,"[[28439    56]
 [  679 27816]]"
62,KNN,0.9905246534479734,0.9961662702779454,0.9848394455167573,0.9904704761232485,"[[28387   108]
 [  432 28063]]"
63,GaussianNB,0.5532023161958238,0.5460566289950176,0.6307773293560274,0.5853674423148947,"[[13553 14942]
 [10521 17974]]"
64,Perceptron,0.9043340937006492,0.9099740241255382,0.8974556939814002,0.9036715078271318,"[[25965  2530]
 [ 2922 25573]]"
65,LinearSVC,0.9247236357255659,0.9850118222257844,0.8625723811194946,0.9197350696003591,"[[28121   374]
 [ 3916 24579]]"
66,SGD,0.9277592560098263,0.9838440774849159,0.8698017195999298,0.9233147689384767,"[[28088   407]
 [ 3710 24785]]"
67,Dtree,0.9920512370591332,0.993523407250968,0.9905597473240919,0.9920393638520341,"[[28311   184]
 [  269 28226]]"
68,RForest,0.9960343919985962,0.9976060552719591,0.9944551675732585,0.9960281195079086,"[[28427    68]
 [  158 28337]]"
69,ADA,0.8527811896824005,0.9059811800815799,0.7872609229689419,0.8424590656451855,"[[26167  2328]
 [ 6062 22433]]"
70,GBC,0.952307422354799,0.9944753500863227,0.9096683628706791,0.9501832844574781,"[[28351   144]
 [ 2574 25921]]"
71,ETC,0.9963853307597824,0.9975027258977877,0.9952623267239866,0.9963812669079155,"[[28424    71]
 [  135 28360]]"
72,logreg,0.9344797332865415,0.9816003423192127,0.885558869977189,0.9311095531530201,"[[28022   473]
 [ 3261 25234]]"
73,SVC,0.9880329882435515,0.9992460958535272,0.976802947885594,0.9878970718722272,"[[28474    21]
 [  661 27834]]"
74,KNN,0.9924021758203193,0.9995016019935921,0.9852956659062994,0.9923477953521251,"[[28481    14]
 [  419 28076]]"
75,GaussianNB,0.5522372346025618,0.5454295742408057,0.6271626601158098,0.5834476003917728,"[[13601 14894]
 [10624 17871]]"
76,Perceptron,0.8980347429373574,0.8982164173864194,0.8978066327425864,0.8980114783158116,"[[25596  2899]
 [ 2912 25583]]"
77,LinearSVC,0.9249341989822776,0.9807440346210347,0.8668889278820846,0.9203084832904883,"[[28010   485]
 [ 3793 24702]]"
78,SGD,0.9304263905948412,0.983483128350678,0.8755571152833831,0.9263873159682899,"[[28076   419]
 [ 3546 24949]]"
79,Dtree,0.9948587471486225,0.9984094443658985,0.991296718722583,0.9948403683941748,"[[28450    45]
 [  248 28247]]"
80,RForest,0.9972451307246886,0.9999647141848976,0.9945253553254957,0.997237617665171,"[[28494     1]
 [  156 28339]]"
81,ADA,0.8615546587120547,0.9201500754455365,0.7918231268643622,0.8511770031688547,"[[26537  1958]
 [ 5932 22563]]"
82,GBC,0.9524828917353921,0.996037394683184,0.908580452711002,0.9503009837028337,"[[28392   103]
 [ 2605 25890]]"
83,ETC,0.997666257238112,0.9999647440417431,0.9953676083523425,0.9976608804235038,"[[28494     1]
 [  132 28363]]"
84,logreg,0.9298824355150026,0.9616007838112823,0.8955255307948763,0.9273877017008286,"[[27476  1019]
 [ 2977 25518]]"
85,SVC,0.988401473942797,0.9981387357720667,0.978627829443762,0.9882869951978451,"[[28443    52]
 [  609 27886]]"
86,KNN,0.9911387962800491,0.9962414013190554,0.9859975434286717,0.9910930031571336,"[[28389   106]
 [  399 28096]]"
87,GaussianNB,0.5342691700298298,0.528530107809624,0.634848218985787,0.5768310959471956,"[[12358 16137]
 [10405 18090]]"
88,Perceptron,0.8195823828741885,0.7879889946554505,0.8744341112475873,0.8289640029276731,"[[21791  6704]
 [ 3578 24917]]"
89,LinearSVC,0.9175820319354273,0.9545419818167927,0.8769257764520091,0.9140892213706948,"[[27305  1190]
 [ 3507 24988]]"
90,SGD,0.9185997543428672,0.9626842513576416,0.8709598175118441,0.9145278673422386,"[[27533   962]
 [ 3677 24818]]"
91,Dtree,0.9889629759606948,0.9885343618513324,0.9894016494121776,0.9889678154871525,"[[28168   327]
 [  302 28193]]"
92,RForest,0.9920863309352518,0.989731768650461,0.9944902614493771,0.9921053092233094,"[[28201   294]
 [  157 28338]]"
93,ADA,0.8357782067029303,0.8646897392895259,0.7961396736269521,0.8290000182711809,"[[24945  3550]
 [ 5809 22686]]"
94,GBC,0.9447095981751185,0.9631240406403041,0.9248289173539217,0.9435880910181356,"[[27486  1009]
 [ 2142 26353]]"
95,ETC,0.9938234778031233,0.9921309411394397,0.9955430777329356,0.9938340807174887,"[[28270   225]
 [  127 28368]]"
96,logreg,0.8902088085629057,0.8789448572012815,0.9050710650991401,0.8918166571571832,"[[24943  3552]
 [ 2705 25790]]"
97,SVC,0.9844534128794525,0.9896428191395027,0.9791542375855413,0.9843705898955686,"[[28203   292]
 [  594 27901]]"
98,KNN,0.9913493595367608,0.9961374911410348,0.9865239515704509,0.9913074142643039,"[[28386   109]
 [  384 28111]]"
99,GaussianNB,0.5328303211089664,0.5274783374944926,0.6302158273381295,0.5742884553885514,"[[12408 16087]
 [10537 17958]]"
100,Perceptron,0.8330759782417968,0.8239912610090804,0.8470959817511844,0.8353838965893163,"[[23339  5156]
 [ 4357 24138]]"
101,LinearSVC,0.8751886295841376,0.8643334242093784,0.8900859799964906,0.8770206953785508,"[[24514  3981]
 [ 3132 25363]]"
102,SGD,0.8903667310054395,0.8905586180260524,0.8901210738726092,0.8903397921932041,"[[25378  3117]
 [ 3131 25364]]"
103,Dtree,0.9888401473942797,0.986960321622094,0.9907703105808037,0.988861646234676,"[[28122   373]
 [  263 28232]]"
104,RForest,0.9963853307597824,0.9981334742032048,0.9946306369538516,0.996378976973106,"[[28442    53]
 [  153 28342]]"
105,ADA,0.8203895420249167,0.82240350319596,0.8172661870503597,0.8198267971555305,"[[23466  5029]
 [ 5207 23288]]"
106,GBC,0.932461835409721,0.9359963204075856,0.9284084927180207,0.932186965943727,"[[26686  1809]
 [ 2040 26455]]"
107,ETC,0.9972100368485699,0.9989786574628443,0.9954377961045797,0.9972050835838211,"[[28466    29]
 [  130 28365]]"
108,logreg,0.8402877697841726,0.7981611881553458,0.9109317424109493,0.8508260128490888,"[[21931  6564]
 [ 2538 25957]]"
109,SVC,0.9225829092823302,0.8784611999874281,0.9808738375153536,0.926847061944555,"[[24628  3867]
 [  545 27950]]"
110,KNN,0.9364274434111247,0.8942679601800774,0.9898929636778382,0.9396538801072672,"[[25160  3335]
 [  288 28207]]"
111,GaussianNB,0.5255834356904721,0.5214866776703607,0.6209159501666959,0.5668743892475528,"[[12260 16235]
 [10802 17693]]"
112,Perceptron,0.8449728022460081,0.8032266025047813,0.9138094402526759,0.8549570699193932,"[[22116  6379]
 [ 2456 26039]]"
113,LinearSVC,0.8369012107387261,0.8044719314938155,0.8901561677487279,0.8451478550603915,"[[22330  6165]
 [ 3130 25365]]"
114,SGD,0.8316020354448149,0.7970823115135509,0.8896999473591858,0.8408484104741215,"[[22041  6454]
 [ 3143 25352]]"
115,Dtree,0.8868222495174592,0.8191874438942461,0.9927706615195648,0.8976645300501365,"[[22251  6244]
 [  206 28289]]"
116,RForest,0.9275311458150552,0.8757827200098708,0.9963853307597824,0.9321994943691106,"[[24468  4027]
 [  103 28392]]"
117,ADA,0.758554132303913,0.7331413562861935,0.8130549219161256,0.7710330138445154,"[[20062  8433]
 [ 5327 23168]]"
118,GBC,0.8778557641691525,0.8427889207258835,0.9290050886120372,0.8837993489692012,"[[23557  4938]
 [ 2023 26472]]"
119,ETC,0.9304088436567819,0.879506142278058,0.9974732409194595,0.9347826086956521,"[[24601  3894]
 [   72 28423]]"
120,logreg,0.9687138094402526,0.9847560975609756,0.9521670468503246,0.9681874141345657,"[[28075   420]
 [ 1363 27132]]"
121,SVC,0.9945779961396737,0.9979858657243816,0.9911563432181084,0.9945593802271325,"[[28438    57]
 [  252 28243]]"
122,KNN,0.9942972451307247,0.9958808618504436,0.9927004737673276,0.9942881245716092,"[[28378   117]
 [  208 28287]]"
123,GaussianNB,0.587208282154764,0.576442721791559,0.6576241445867697,0.6143632280379654,"[[14726 13769]
 [ 9756 18739]]"
124,Perceptron,0.9609580628180383,0.9761818445475638,0.9449728022460081,0.9603238288842525,"[[27838   657]
 [ 1568 26927]]"
125,LinearSVC,0.9578698017195999,0.9843703593703593,0.9305141252851378,0.956684887517815,"[[28074   421]
 [ 1980 26515]]"
126,SGD,0.9656255483418144,0.9903903015966884,0.9403755044744692,0.9647351082788789,"[[28235   260]
 [ 1699 26796]]"
127,Dtree,0.9927882084576242,0.9944018026899514,0.9911563432181084,0.9927764205494138,"[[28336   159]
 [  252 28243]]"
128,RForest,0.9973153184769258,0.9976471414524511,0.9969819266537989,0.997314423127556,"[[28428    67]
 [   86 28409]]"
129,ADA,0.8750833479557817,0.8842116615141276,0.8632040708896298,0.8735815886207449,"[[25274  3221]
 [ 3898 24597]]"
130,GBC,0.9807159150728197,0.9926274904696828,0.9686260747499561,0.9804799204277012,"[[28290   205]
 [  894 27601]]"
131,ETC,0.9977188980522899,0.9975093836601536,0.9979294613090016,0.9977193782674292,"[[28424    71]
 [   59 28436]]"
132,logreg,0.9673626952096859,0.9796160910433248,0.9545885243025092,0.9669403860509758,"[[27929   566]
 [ 1294 27201]]"
133,SVC,0.995332514476224,0.9992218724578219,0.9914370942270574,0.9953142615558062,"[[28473    22]
 [  244 28251]]"
134,KNN,0.995964204246359,0.9992581340304518,0.992665379891209,0.9959508468011691,"[[28474    21]
 [  209 28286]]"
135,GaussianNB,0.576574837690823,0.5678187356250388,0.6411300228110195,0.6022515617531193,"[[14590 13905]
 [10226 18269]]"
136,Perceptron,0.7483593612914546,0.7362938230383973,0.7738901561677487,0.7546240054752331,"[[20597  7898]
 [ 6443 22052]]"
137,LinearSVC,0.9578873486576592,0.9793526580697307,0.9354974556939814,0.9569228560146461,"[[27933   562]
 [ 1838 26657]]"
138,SGD,0.9603439199859625,0.9793531883793166,0.9405158799789437,0.9595417114214108,"[[27930   565]
 [ 1695 26800]]"
139,Dtree,0.9958589226180031,0.9991874227168345,0.9925250043867345,0.9958450704225351,"[[28472    23]
 [  213 28282]]"
140,RForest,0.9982628531321285,0.9999295774647887,0.9965958940164942,0.9982599525441602,"[[28493     2]
 [   97 28398]]"
141,ADA,0.8963853307597824,0.9157158630842841,0.8731356378311984,0.8939189796101679,"[[26205  2290]
 [ 3615 24880]]"
142,GBC,0.9794525355325495,0.9954308093994778,0.9633268994560449,0.9791157639421448,"[[28369   126]
 [ 1045 27450]]"
143,ETC,0.998859449026145,0.9999648283624085,0.9977539919284085,0.9988581868006394,"[[28494     1]
 [   64 28431]]"
144,logreg,0.9573609405158799,0.9581004604731274,0.9565537813651518,0.9573264962067997,"[[27303  1192]
 [ 1238 27257]]"
145,SVC,0.9949289349008598,0.9980224592132213,0.9918231268643621,0.9949131360780102,"[[28439    56]
 [  233 28262]]"
146,KNN,0.9942972451307247,0.995357670394598,0.9932268819091069,0.9942911345711325,"[[28363   132]
 [  193 28302]]"
147,GaussianNB,0.5666081768731356,0.5554128226088988,0.6676258992805756,0.6063716193602883,"[[13267 15228]
 [ 9471 19024]]"
148,Perceptron,0.9259168275135988,0.8948241647418589,0.9652921565186875,0.9287233683357531,"[[25262  3233]
 [  989 27506]]"
149,LinearSVC,0.9456571328303212,0.949968109985118,0.9408668187401299,0.9453955604139852,"[[27083  1412]
 [ 1685 26810]]"
150,SGD,0.9477978592735568,0.9422263810910099,0.9540972100368486,0.9481246403599016,"[[26828  1667]
 [ 1308 27187]]"
151,Dtree,0.9915950166695912,0.9872347826086957,0.9960694858747149,0.9916324569831427,"[[28128   367]
 [  112 28383]]"
152,RForest,0.9935427267941744,0.9896932344440963,0.9974732409194595,0.9935680078302513,"[[28199   296]
 [   72 28423]]"
153,ADA,0.8812774170907177,0.8809565552789369,0.8816985436041411,0.881327393271828,"[[25100  3395]
 [ 3371 25124]]"
154,GBC,0.9653623442709247,0.9628608328388425,0.9680645727320583,0.9654556908861822,"[[27431  1064]
 [  910 27585]]"
